CustomerID,Customer-Age,Gender,Membership,Company,Segment,Model,Car-Year,Car-Age,Fuel type,Servicing-Price,Payment-Method,TechSupport,Assistance,Churn
5248-YGIJN,41,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2017,3,Diesel,3500,Cash,Yes,Yes,Yes
8773-HHUOZ,42,Female,No,Maruti Suzuki,Hatchback,Ignis,2018,2,Petrol,3000,Cash,Yes,Yes,Yes
3841-NFECX,51,Male,Yes,Maruti Suzuki,Suv,Breeza,2019,1,Petrol,4500,Card,Yes,Yes,Yes
4929-XIHVW,30,Male,Yes,Maruti Suzuki,Muv,Ertiga,2020,0,Cng,5000,Cash,Yes,Yes,Yes
6827-IEAUQ,34,Female,No,Maruti Suzuki,Sedan,Ciaz,2005,15,Diesel,3500,Wallet,Yes,Yes,Yes
7310-EGVHZ,45,Male,Yes,Maruti Suzuki,Hatchback,Swift,2006,14,Petrol,3000,Cash,Yes,Yes,Yes
3413-BMNZE,35,Male,Yes,Maruti Suzuki,Suv,Breeza,2007,13,Petrol,4500,Cash,Yes,Yes,Yes
6234-RAAPL,49,Female,No,Maruti Suzuki,Muv,Ertiga,2008,12,Cng,5000,Card,Yes,Yes,Yes
6047-YHPVI,26,Male,Yes,Maruti Suzuki,Sedan,Dzire,2009,11,Diesel,3500,Cash,Yes,Yes,Yes
6572-ADKRS,25,Male,Yes,Maruti Suzuki,Hatchback,Baleno,2010,10,Petrol,3000,Wallet,Yes,Yes,Yes
5380-WJKOV,39,Female,No,Maruti Suzuki,Suv,Breeza,2011,9,Petrol,4500,Cash,Yes,Yes,Yes
8168-UQWWF,52,Male,Yes,Maruti Suzuki,Muv,Ertiga,2012,8,Cng,5000,Cash,Yes,Yes,Yes
8865-TNMNX,32,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2013,7,Diesel,3500,Card,Yes,Yes,Yes
9489-DEDVP,50,Female,No,Maruti Suzuki,Hatchback,Wagaon-R,2014,6,Petrol,3000,Cash,Yes,Yes,Yes
9867-JCZSP,42,Male,Yes,Maruti Suzuki,Suv,Breeza,2015,5,Petrol,4500,Wallet,Yes,Yes,Yes
4671-VJLCL,40,Male,Yes,Maruti Suzuki,Muv,Ertiga,2016,4,Cng,5000,Cash,Yes,Yes,Yes
4080-IIARD,32,Female,No,Maruti Suzuki,Sedan,Ciaz,2017,3,Diesel,3500,Cash,Yes,Yes,Yes
3714-NTNFO,43,Male,Yes,Maruti Suzuki,Hatchback,Ignis,2018,2,Petrol,3000,Card,Yes,Yes,Yes
5948-UJZLF,45,Male,Yes,Maruti Suzuki,Suv,Breeza,2019,1,Petrol,4500,Cash,Yes,Yes,Yes
7760-OYPDY,40,Female,No,Maruti Suzuki,Muv,Ertiga,2020,0,Cng,5000,Wallet,Yes,Yes,Yes
7639-LIAYI,28,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2005,15,Diesel,3500,Cash,Yes,Yes,Yes
2954-PIBKO,46,Male,Yes,Maruti Suzuki,Hatchback,Swift,2006,14,Petrol,3000,Cash,Yes,Yes,Yes
8012-SOUDQ,24,Female,No,Maruti Suzuki,Suv,Breeza,2007,13,Petrol,4500,Card,Yes,Yes,Yes
9420-LOJKX,51,Male,Yes,Maruti Suzuki,Muv,Ertiga,2008,12,Cng,5000,Cash,Yes,Yes,Yes
6575-SUVOI,55,Male,Yes,Maruti Suzuki,Sedan,Dzire,2009,11,Diesel,3500,Wallet,Yes,Yes,Yes
7495-OOKFY,22,Female,No,Maruti Suzuki,Hatchback,Baleno,2010,10,Petrol,3000,Cash,Yes,Yes,Yes
4667-QONEA,35,Male,Yes,Maruti Suzuki,Suv,Breeza,2011,9,Petrol,4500,Cash,Yes,Yes,Yes
1658-BYGOY,47,Male,Yes,Maruti Suzuki,Muv,Ertiga,2012,8,Cng,5000,Card,Yes,Yes,Yes
8769-KKTPH,53,Female,No,Maruti Suzuki,Sedan,Ciaz,2013,7,Diesel,3500,Cash,Yes,Yes,Yes
5067-XJQFU,52,Male,Yes,Maruti Suzuki,Hatchback,Wagaon-R,2014,6,Petrol,3000,Wallet,Yes,Yes,Yes
3957-SQXML,27,Male,Yes,Maruti Suzuki,Suv,Breeza,2015,5,Petrol,4500,Cash,Yes,Yes,Yes
5954-BDFSG,41,Female,No,Maruti Suzuki,Muv,Ertiga,2016,4,Cng,5000,Cash,Yes,Yes,Yes
0434-CSFON,55,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2017,3,Diesel,3500,Card,Yes,Yes,Yes
1215-FIGMP,42,Male,Yes,Maruti Suzuki,Hatchback,Ignis,2018,2,Petrol,3000,Cash,Yes,Yes,Yes
0526-SXDJP,31,Female,No,Maruti Suzuki,Suv,Breeza,2019,1,Petrol,4500,Wallet,Yes,Yes,Yes
0557-ASKVU,40,Male,Yes,Maruti Suzuki,Muv,Ertiga,2020,0,Cng,5000,Cash,Yes,Yes,Yes
5698-BQJOH,42,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2005,15,Diesel,3500,Cash,Yes,Yes,Yes
5122-CYFXA,55,Female,No,Maruti Suzuki,Hatchback,Swift,2006,14,Petrol,3000,Card,Yes,Yes,Yes
8627-ZYGSZ,50,Male,Yes,Maruti Suzuki,Suv,Breeza,2007,13,Petrol,4500,Cash,Yes,Yes,Yes
3410-YOQBQ,52,Male,Yes,Maruti Suzuki,Muv,Ertiga,2008,12,Cng,5000,Wallet,Yes,Yes,Yes
3170-NMYVV,43,Female,No,Maruti Suzuki,Sedan,Dzire,2009,11,Diesel,3500,Cash,Yes,Yes,Yes
7410-OIEDU,45,Male,Yes,Maruti Suzuki,Hatchback,Baleno,2010,10,Petrol,3000,Cash,Yes,Yes,Yes
2273-QCKXA,23,Male,Yes,Maruti Suzuki,Suv,Breeza,2011,9,Petrol,4500,Card,Yes,Yes,Yes
0731-EBJQB,36,Female,No,Maruti Suzuki,Muv,Ertiga,2012,8,Cng,5000,Cash,Yes,Yes,Yes
1891-QRQSA,53,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2013,7,Diesel,3500,Wallet,Yes,Yes,Yes
8028-PNXHQ,21,Male,Yes,Maruti Suzuki,Hatchback,Wagaon-R,2014,6,Petrol,3000,Cash,Yes,Yes,Yes
5630-AHZIL,48,Female,No,Maruti Suzuki,Suv,Breeza,2015,5,Petrol,4500,Cash,Yes,Yes,Yes
2673-CXQEU,22,Male,Yes,Maruti Suzuki,Muv,Ertiga,2016,4,Cng,5000,Card,Yes,Yes,Yes
6416-JNVRK,32,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2017,3,Diesel,3500,Cash,Yes,Yes,Yes
5590-ZSKRV,26,Female,No,Maruti Suzuki,Hatchback,Ignis,2018,2,Petrol,3000,Wallet,Yes,Yes,Yes
0191-ZHSKZ,39,Male,Yes,Maruti Suzuki,Suv,Breeza,2019,1,Petrol,4500,Cash,Yes,Yes,Yes
3887-PBQAO,53,Male,Yes,Maruti Suzuki,Muv,Ertiga,2020,0,Cng,5000,Cash,Yes,Yes,Yes
5919-TMRGD,45,Female,No,Maruti Suzuki,Sedan,Ciaz,2005,15,Diesel,3500,Card,Yes,Yes,Yes
8108-UXRQN,50,Male,Yes,Maruti Suzuki,Hatchback,Swift,2006,14,Petrol,3000,Cash,Yes,Yes,Yes
9191-MYQKX,51,Male,Yes,Maruti Suzuki,Suv,Breeza,2007,13,Petrol,4500,Wallet,Yes,Yes,Yes
9919-YLNNG,31,Female,No,Maruti Suzuki,Muv,Ertiga,2008,12,Cng,5000,Cash,Yes,Yes,Yes
0318-ZOPWS,37,Male,Yes,Maruti Suzuki,Sedan,Dzire,2009,11,Diesel,3500,Cash,Yes,Yes,Yes
4445-ZJNMU,31,Male,Yes,Maruti Suzuki,Hatchback,Baleno,2010,10,Petrol,3000,Card,Yes,Yes,Yes
4808-YNLEU,41,Female,No,Maruti Suzuki,Suv,Breeza,2011,9,Petrol,4500,Cash,Yes,Yes,Yes
1862-QRWPE,41,Male,Yes,Maruti Suzuki,Muv,Ertiga,2012,8,Cng,5000,Wallet,Yes,Yes,Yes
2796-NNUFI,39,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2013,7,Diesel,3500,Cash,Yes,Yes,Yes
3016-KSVCP,31,Female,No,Maruti Suzuki,Hatchback,Wagaon-R,2014,6,Petrol,3000,Cash,Yes,Yes,Yes
4767-HZZHQ,22,Male,Yes,Maruti Suzuki,Suv,Breeza,2015,5,Petrol,4500,Card,Yes,Yes,Yes
2424-WVHPL,39,Male,Yes,Maruti Suzuki,Muv,Ertiga,2016,4,Cng,5000,Cash,Yes,Yes,Yes
7233-PAHHL,40,Female,No,Maruti Suzuki,Sedan,Ciaz,2017,3,Diesel,3500,Wallet,Yes,Yes,Yes
6067-NGCEU,29,Male,Yes,Maruti Suzuki,Hatchback,Ignis,2018,2,Petrol,3000,Cash,Yes,Yes,Yes
9848-JQJTX,25,Male,Yes,Maruti Suzuki,Suv,Breeza,2019,1,Petrol,4500,Cash,Yes,Yes,Yes
8637-XJIVR,46,Female,No,Maruti Suzuki,Muv,Ertiga,2020,0,Cng,5000,Card,Yes,Yes,Yes
9803-FTJCG,50,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2005,15,Diesel,3500,Cash,Yes,Yes,Yes
0278-YXOOG,53,Male,Yes,Maruti Suzuki,Hatchback,Swift,2006,14,Petrol,3000,Wallet,Yes,Yes,Yes
3212-KXOCR,53,Female,No,Maruti Suzuki,Suv,Breeza,2007,13,Petrol,4500,Cash,Yes,Yes,Yes
4598-XLKNJ,34,Male,Yes,Maruti Suzuki,Muv,Ertiga,2008,12,Cng,5000,Cash,Yes,Yes,Yes
6380-ARCEH,50,Male,Yes,Company,Segment,Model,2009,11,Diesel,,Card,Yes,Yes,Yes
3679-XASPY,35,Female,No,Maruti Suzuki,Sedan,Ciaz,2010,10,Petrol,3500,Cash,Yes,Yes,Yes
7123-WQUHX,22,Male,Yes,Maruti Suzuki,Hatchback,Swift,2011,9,Petrol,3000,Wallet,Yes,Yes,Yes
5386-THSLQ,24,Male,Yes,Maruti Suzuki,Suv,Breeza,2012,8,Cng,4500,Cash,Yes,Yes,Yes
3192-NQECA,43,Female,No,Maruti Suzuki,Muv,Ertiga,2013,7,Diesel,5000,Cash,Yes,Yes,Yes
6180-YBIQI,36,Male,Yes,Maruti Suzuki,Sedan,Dzire,2014,6,Petrol,3500,Card,Yes,Yes,Yes
6728-DKUCO,49,Male,Yes,Maruti Suzuki,Hatchback,Baleno,2015,5,Petrol,3000,Cash,Yes,Yes,Yes
9750-BOOHV,37,Female,No,Maruti Suzuki,Suv,Breeza,2016,4,Cng,4500,Wallet,Yes,Yes,Yes
8597-CWYHH,55,Male,Yes,Maruti Suzuki,Muv,Ertiga,2017,3,Diesel,5000,Cash,Yes,Yes,Yes
2848-YXSMW,24,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2018,2,Petrol,3500,Cash,Yes,Yes,Yes
0486-HECZI,47,Female,No,Maruti Suzuki,Hatchback,Wagaon-R,2019,1,Petrol,3000,Card,Yes,Yes,Yes
4549-ZDQYY,31,Male,Yes,Maruti Suzuki,Suv,Breeza,2020,0,Cng,4500,Cash,Yes,Yes,Yes
5712-AHQNN,50,Male,Yes,Maruti Suzuki,Muv,Ertiga,2005,15,Diesel,5000,Wallet,Yes,Yes,Yes
4846-WHAFZ,24,Female,No,Maruti Suzuki,Sedan,Ciaz,2006,14,Petrol,3500,Cash,Yes,Yes,Yes
5256-SKJGO,45,Male,Yes,Maruti Suzuki,Hatchback,Ignis,2007,13,Petrol,3000,Cash,Yes,Yes,Yes
3071-VBYPO,22,Male,Yes,Maruti Suzuki,Suv,Breeza,2008,12,Cng,4500,Card,Yes,Yes,Yes
9560-BBZXK,47,Female,No,Maruti Suzuki,Muv,Ertiga,2009,11,Diesel,5000,Cash,Yes,Yes,Yes
5299-RULOA,28,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2010,10,Petrol,3500,Wallet,Yes,Yes,Yes
8402-OOOHJ,23,Male,Yes,Maruti Suzuki,Hatchback,Swift,2011,9,Petrol,3000,Cash,Yes,Yes,Yes
9445-ZUEQE,49,Female,No,Maruti Suzuki,Suv,Breeza,2012,8,Cng,4500,Cash,Yes,Yes,Yes
1091-SOZGA,24,Male,Yes,Maruti Suzuki,Muv,Ertiga,2013,7,Diesel,5000,Card,Yes,Yes,Yes
2928-HLDBA,53,Male,Yes,Maruti Suzuki,Sedan,Dzire,2014,6,Petrol,3500,Cash,Yes,Yes,Yes
0404-SWRVG,29,Female,No,Maruti Suzuki,Hatchback,Baleno,2015,5,Petrol,3000,Wallet,Yes,Yes,Yes
6497-TILVL,47,Male,Yes,Maruti Suzuki,Suv,Breeza,2016,4,Cng,4500,Cash,Yes,Yes,Yes
7219-TLZHO,35,Male,Yes,Maruti Suzuki,Muv,Ertiga,2017,3,Diesel,5000,Cash,Yes,Yes,Yes
4622-YNKIJ,48,Female,No,Maruti Suzuki,Sedan,Ciaz,2018,2,Petrol,3500,Card,Yes,Yes,Yes
4412-YLTKF,32,Male,Yes,Maruti Suzuki,Hatchback,Wagaon-R,2019,1,Petrol,3000,Cash,Yes,Yes,Yes
6734-PSBAW,31,Male,Yes,Maruti Suzuki,Suv,Breeza,2020,0,Cng,4500,Wallet,Yes,Yes,Yes
3930-ZGWVE,53,Female,No,Maruti Suzuki,Muv,Ertiga,2005,15,Diesel,5000,Cash,Yes,Yes,Yes
2639-UGMAZ,41,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2006,14,Petrol,3500,Cash,Yes,Yes,Yes
2876-GZYZC,21,Male,Yes,Maruti Suzuki,Hatchback,Ignis,2007,13,Petrol,3000,Card,Yes,Yes,Yes
6207-WIOLX,52,Female,No,Maruti Suzuki,Suv,Breeza,2008,12,Cng,4500,Cash,Yes,Yes,Yes
8587-XYZSF,45,Male,Yes,Maruti Suzuki,Muv,Ertiga,2009,11,Diesel,5000,Wallet,Yes,Yes,Yes
3091-FYHKI,48,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2010,10,Petrol,3500,Cash,Yes,Yes,Yes
2372-HWUHI,55,Female,No,Maruti Suzuki,Hatchback,Swift,2011,9,Petrol,3000,Cash,Yes,Yes,Yes
7799-LGRDP,40,Male,Yes,Maruti Suzuki,Suv,Breeza,2012,8,Cng,4500,Card,Yes,Yes,Yes
7850-VWJUU,44,Male,Yes,Maruti Suzuki,Muv,Ertiga,2013,7,Diesel,5000,Cash,Yes,Yes,Yes
3774-VBNXY,42,Female,No,Maruti Suzuki,Sedan,Dzire,2014,6,Petrol,3500,Wallet,Yes,Yes,Yes
6217-KDYWC,28,Male,Yes,Maruti Suzuki,Hatchback,Baleno,2015,5,Petrol,3000,Cash,Yes,Yes,Yes
0390-DCFDQ,32,Male,Yes,Maruti Suzuki,Suv,Breeza,2016,4,Cng,4500,Cash,Yes,Yes,Yes
3146-MSEGF,32,Female,No,Maruti Suzuki,Muv,Ertiga,2017,3,Diesel,5000,Card,Yes,Yes,Yes
4080-OGPJL,37,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2018,2,Petrol,3500,Cash,Yes,Yes,Yes
1095-WGNGG,45,Male,Yes,Maruti Suzuki,Hatchback,Wagaon-R,2019,1,Petrol,3000,Wallet,Yes,Yes,Yes
2636-SJDOU,36,Female,No,Maruti Suzuki,Suv,Breeza,2020,0,Cng,4500,Cash,Yes,Yes,Yes
1131-QQZEB,42,Male,Yes,Maruti Suzuki,Muv,Ertiga,2005,15,Diesel,5000,Cash,Yes,Yes,Yes
5716-EZXZN,39,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2006,14,Petrol,3500,Card,Yes,Yes,Yes
6837-BJYDQ,47,Female,No,Maruti Suzuki,Hatchback,Ignis,2007,13,Petrol,3000,Cash,Yes,Yes,Yes
2135-RXIHG,49,Male,Yes,Maruti Suzuki,Suv,Breeza,2008,12,Cng,4500,Wallet,Yes,Yes,Yes
6440-DKQGE,54,Male,Yes,Maruti Suzuki,Muv,Ertiga,2009,11,Diesel,5000,Cash,Yes,Yes,Yes
3466-BYAVD,50,Female,No,Maruti Suzuki,Sedan,Ciaz,2010,10,Petrol,3500,Cash,Yes,Yes,Yes
3780-YVMFA,48,Male,Yes,Maruti Suzuki,Hatchback,Swift,2011,9,Petrol,3000,Card,Yes,Yes,Yes
3874-EQOEP,43,Male,Yes,Maruti Suzuki,Suv,Breeza,2012,8,Cng,4500,Cash,Yes,Yes,Yes
1679-JRFBR,38,Female,No,Maruti Suzuki,Muv,Ertiga,2013,7,Diesel,5000,Wallet,Yes,Yes,Yes
9073-ZZIAY,25,Male,Yes,Maruti Suzuki,Sedan,Dzire,2014,6,Petrol,3500,Cash,Yes,Yes,Yes
3077-RSNTJ,43,Male,Yes,Maruti Suzuki,Hatchback,Baleno,2015,5,Petrol,3000,Cash,Yes,Yes,Yes
6551-GNYDG,42,Female,No,Maruti Suzuki,Suv,Breeza,2016,4,Cng,4500,Card,Yes,Yes,Yes
9167-APMXZ,50,Male,Yes,Maruti Suzuki,Muv,Ertiga,2017,3,Diesel,5000,Cash,Yes,Yes,Yes
2749-CTKAJ,36,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2018,2,Petrol,3500,Wallet,Yes,Yes,Yes
6371-NZYEG,32,Female,No,Maruti Suzuki,Hatchback,Wagaon-R,2019,1,Petrol,3000,Cash,Yes,Yes,Yes
7554-NEWDD,52,Male,Yes,Maruti Suzuki,Suv,Breeza,2020,0,Cng,4500,Cash,Yes,Yes,Yes
8992-VONJD,33,Male,Yes,Maruti Suzuki,Muv,Ertiga,2005,15,Diesel,5000,Card,Yes,Yes,Yes
0867-MKZVY,51,Female,No,Maruti Suzuki,Sedan,Ciaz,2006,14,Petrol,3500,Cash,Yes,Yes,Yes
4482-EWFMI,34,Male,Yes,Maruti Suzuki,Hatchback,Ignis,2007,13,Petrol,3000,Wallet,Yes,Yes,Yes
4648-YPBTM,54,Male,Yes,Maruti Suzuki,Suv,Breeza,2008,12,Cng,4500,Cash,Yes,Yes,Yes
2907-ILJBN,46,Female,No,Maruti Suzuki,Muv,Ertiga,2009,11,Diesel,5000,Cash,Yes,Yes,Yes
6345-FZOQH,51,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2010,10,Petrol,3500,Card,Yes,Yes,Yes
3376-BMGFE,29,Male,Yes,Maruti Suzuki,Hatchback,Swift,2011,9,Petrol,3000,Cash,Yes,Yes,Yes
5997-OPVFA,53,Female,No,Maruti Suzuki,Suv,Breeza,2012,8,Cng,4500,Wallet,Yes,Yes,Yes
3445-HXXGF,47,Male,Yes,Maruti Suzuki,Muv,Ertiga,2013,7,Diesel,5000,Cash,Yes,Yes,Yes
1159-WFSGR,27,Male,Yes,Maruti Suzuki,Sedan,Dzire,2014,6,Petrol,3500,Cash,Yes,Yes,Yes
7654-YWJUF,32,Female,No,Maruti Suzuki,Hatchback,Baleno,2015,5,Petrol,3000,Card,Yes,Yes,Yes
1875-QIVME,27,Male,Yes,Maruti Suzuki,Suv,Breeza,2016,4,Cng,4500,Cash,Yes,Yes,Yes
6727-IOTLZ,32,Male,Yes,Maruti Suzuki,Muv,Ertiga,2017,3,Diesel,5000,Wallet,Yes,Yes,Yes
0691-JVSYA,38,Female,No,Maruti Suzuki,Sedan,Ciaz,2018,2,Petrol,3500,Cash,Yes,Yes,Yes
5918-VUKWP,33,Male,Yes,Maruti Suzuki,Hatchback,Wagaon-R,2019,1,Petrol,3000,Cash,Yes,Yes,Yes
1744-JHKYS,26,Male,Yes,Maruti Suzuki,Suv,Breeza,2020,0,Cng,4500,Card,Yes,Yes,Yes
2656-FMOKZ,34,Female,No,Maruti Suzuki,Muv,Ertiga,2005,15,Diesel,5000,Cash,Yes,Yes,Yes
2070-FNEXE,26,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2006,14,Petrol,3500,Wallet,Yes,Yes,Yes
5947-SGKCL,51,Male,Yes,Maruti Suzuki,Hatchback,Ignis,2007,13,Petrol,3000,Cash,Yes,Yes,Yes
3712-PKXZA,43,Female,No,Maruti Suzuki,Suv,Breeza,2008,12,Cng,4500,Cash,Yes,Yes,Yes
6317-YPKDH,48,Male,Yes,Maruti Suzuki,Muv,Ertiga,2009,11,Diesel,5000,Card,Yes,Yes,Yes
6582-OIVSP,42,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2010,10,Petrol,3500,Cash,Yes,Yes,Yes
9367-WXLCH,25,Female,No,Maruti Suzuki,Hatchback,Swift,2011,9,Petrol,3000,Wallet,Yes,Yes,Yes
5524-KHNJP,55,Male,Yes,Maruti Suzuki,Suv,Breeza,2012,8,Cng,4500,Cash,Yes,Yes,Yes
1918-ZBFQJ,28,Male,Yes,Maruti Suzuki,Muv,Ertiga,2013,7,Diesel,5000,Cash,Yes,Yes,Yes
1024-GUALD,35,Female,No,Maruti Suzuki,Sedan,Dzire,2014,6,Petrol,3500,Card,Yes,Yes,Yes
4827-USJHP,51,Male,Yes,Maruti Suzuki,Hatchback,Baleno,2015,5,Petrol,3000,Cash,Yes,Yes,Yes
8167-GJLRN,54,Male,Yes,Maruti Suzuki,Suv,Breeza,2016,4,Cng,4500,Wallet,Yes,Yes,Yes
0956-SYCWG,32,Female,No,Maruti Suzuki,Muv,Ertiga,2017,3,Diesel,5000,Cash,Yes,Yes,Yes
8017-UVSZU,24,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2018,2,Petrol,3500,Cash,Yes,Yes,Yes
7100-FQPRV,21,Male,Yes,Maruti Suzuki,Hatchback,Wagaon-R,2019,1,Petrol,3000,Card,Yes,Yes,Yes
2472-OVKUP,32,Female,No,Maruti Suzuki,Suv,Breeza,2020,0,Cng,4500,Cash,Yes,Yes,Yes
2984-RGEYA,21,Male,Yes,Maruti Suzuki,Muv,Ertiga,2005,15,Diesel,5000,Wallet,Yes,Yes,Yes
9680-NIAUV,55,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2006,14,Petrol,3500,Cash,Yes,Yes,Yes
2146-EGVDT,38,Female,No,Maruti Suzuki,Hatchback,Ignis,2007,13,Petrol,3000,Cash,Yes,Yes,Yes
2604-IJPDU,52,Male,Yes,Maruti Suzuki,Suv,Breeza,2008,12,Cng,4500,Card,Yes,Yes,Yes
9178-JHUVJ,37,Male,Yes,Maruti Suzuki,Muv,Ertiga,2009,11,Diesel,5000,Cash,Yes,Yes,Yes
6168-YBYNP,23,Female,No,Maruti Suzuki,Sedan,Ciaz,2010,10,Petrol,3500,Wallet,Yes,Yes,Yes
7255-SSFBC,52,Male,Yes,Maruti Suzuki,Hatchback,Swift,2011,9,Petrol,3000,Cash,Yes,Yes,Yes
3645-DEYGF,40,Male,Yes,Maruti Suzuki,Suv,Breeza,2012,8,Cng,4500,Cash,Yes,Yes,Yes
9323-HGFWY,36,Female,No,Maruti Suzuki,Muv,Ertiga,2013,7,Diesel,5000,Card,Yes,Yes,Yes
8544-GOQSH,43,Male,Yes,Company,Segment,Model,2014,6,Petrol,,Cash,Yes,Yes,Yes
3363-DTIVD,51,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2015,5,Petrol,3500,Wallet,Yes,Yes,Yes
7018-WBJNK,33,Female,No,Maruti Suzuki,Hatchback,Swift,2016,4,Cng,3000,Cash,Yes,Yes,Yes
9142-KZXOP,44,Male,Yes,Maruti Suzuki,Suv,Breeza,2017,3,Diesel,4500,Cash,Yes,Yes,Yes
7674-YTAFD,51,Male,Yes,Maruti Suzuki,Muv,Ertiga,2018,2,Petrol,5000,Card,Yes,Yes,Yes
6348-SNFUS,50,Female,No,Maruti Suzuki,Sedan,Dzire,2019,1,Petrol,3500,Cash,Yes,Yes,Yes
1285-OKIPP,53,Male,Yes,Maruti Suzuki,Hatchback,Baleno,2020,0,Cng,3000,Wallet,Yes,Yes,Yes
