Date,Country,Province,New Confirmed,New Recovered,New Death
2020/3/3,China,Xinjiang,0,2,0
2020/3/3,China,Ningxia,0,0,0
2020/3/3,China,Yunnan,0,1,0
2020/3/3,China,Zhejiang,7,24,0
2020/3/3,France,France,0,0,0
2020/3/3,Germany,Germany,66,0,0
2020/3/3,Iran,Iran,835,260,11
2020/3/3,Italy,Italy,342,66,18
2020/3/3,Korea,Korea,851,0,9
2020/3/3,Spain,Spain,66,0,0
2020/3/3,USA,USA,23,0,5
2020/3/3,China,Xizang,0,0,0
2020/3/3,China,Neimenggu,0,5,1
2020/3/3,else,else,172,8,0
2020/3/3,China,Liaoning,3,3,0
2020/3/3,China,Anhui,0,19,0
2020/3/3,China,Beijing,0,6,0
2020/3/3,China,Chongqing,0,19,0
2020/3/3,China,Fujian,0,5,0
2020/3/3,China,Gansu,0,1,0
2020/3/3,China,Guangdong,0,42,0
2020/3/3,China,Guangxi,0,10,0
2020/3/3,China,Guizhou,0,0,0
2020/3/3,China,Hainan,0,3,0
2020/3/3,China,Macau,0,1,0
2020/3/3,China,Heilongjiang,0,10,0
2020/3/3,China,Hebei,0,4,0
2020/3/3,China,Jiangxi,0,20,0
2020/3/3,China,Jiangsu,0,19,0
2020/3/3,China,Hunan,0,19,0
2020/3/3,China,Jilin,0,0,0
2020/3/3,China,Hongkong,0,0,0
2020/3/3,China,Hong Kong,2,1,0
2020/3/3,China,Henan,0,26,0
2020/3/3,China,Hubei,114,2274,32
2020/3/4,China,Xinjiang,0,1,0
2020/3/4,China,Shaanxi,0,7,0
2020/3/4,China,Shandong,0,5,0
2020/3/4,China,Shanxi,0,4,0
2020/3/4,China,Sichuan,0,12,0
2020/3/4,China,Taiwan,0,0,0
2020/3/4,China,Tianjin,0,0,0
2020/3/4,China,Xizang,0,0,0
2020/3/4,Iran,Iran,586,117,15
2020/3/4,China,Zhejiang,0,21,0
2020/3/4,France,France,82,0,2
2020/3/4,Germany,Germany,44,0,0
2020/3/4,China,Qinghai,0,0,0
2020/3/4,Italy,Italy,466,11,27
2020/3/4,Korea,Korea,435,11,2
2020/3/4,Spain,Spain,15,0,1
2020/3/4,USA,USA,22,0,3
2020/3/4,else,else,120,12,1
2020/3/4,China,Yunnan,0,0,0
2020/3/4,China,Ningxia,1,0,0
2020/3/4,China,Shanghai,0,4,0
2020/3/4,China,Neimenggu,0,4,0
2020/3/4,China,Macau,0,0,0
2020/3/4,China,Anhui,0,20,0
2020/3/4,China,Beijing,3,6,0
2020/3/4,China,Chongqing,0,21,0
2020/3/4,China,Fujian,0,10,0
2020/3/4,China,Gansu,0,1,0
2020/3/4,China,Guangxi,0,8,0
2020/3/4,China,Guizhou,0,0,0
2020/3/4,China,Hainan,0,6,0
2020/3/4,China,Hebei,0,1,0
2020/3/4,China,Guangdong,0,32,0
2020/3/4,China,Henan,0,3,0
2020/3/4,China,Heilongjiang,0,7,0
2020/3/4,China,Jilin,0,3,0
2020/3/4,China,Jiangxi,0,14,0
2020/3/4,China,Jiangsu,0,15,0
2020/3/4,China,Liaoning,0,0,0
2020/3/4,China,Hubei,115,2349,36
2020/3/4,China,Hongkong,0,0,0
2020/3/4,China,Hong Kong,2,0,0
2020/3/4,China,Hunan,0,10,0
2020/3/5,China,Tianjin,0,4,0
2020/3/5,China,Qinghai,0,0,0
2020/3/5,China,Shaanxi,0,1,0
2020/3/5,China,Shandong,0,62,0
2020/3/5,China,Shanghai,1,5,0
2020/3/5,China,Shanxi,0,2,0
2020/3/5,China,Sichuan,1,19,0
2020/3/5,China,Taiwan,2,0,0
2020/3/5,China,Xinjiang,0,1,0
2020/3/5,China,Ningxia,0,0,0
2020/3/5,China,Yunnan,0,0,0
2020/3/5,China,Zhejiang,2,10,0
2020/3/5,France,France,73,0,0
2020/3/5,Germany,Germany,109,0,0
2020/3/5,Iran,Iran,0,0,0
2020/3/5,Italy,Italy,587,116,28
2020/3/5,Korea,Korea,467,0,3
2020/3/5,Spain,Spain,64,0,0
2020/3/5,USA,USA,31,0,2
2020/3/5,China,Xizang,0,0,0
2020/3/5,else,else,249,6,2
2020/3/5,China,Neimenggu,0,1,0
2020/3/5,China,Liaoning,0,0,0
2020/3/5,China,Anhui,0,14,0
2020/3/5,China,Beijing,1,3,0
2020/3/5,China,Chongqing,0,12,0
2020/3/5,China,Fujian,0,7,0
2020/3/5,China,Gansu,11,0,0
2020/3/5,China,Guangdong,1,55,0
2020/3/5,China,Guangxi,0,4,0
2020/3/5,China,Guizhou,0,0,0
2020/3/5,China,Hainan,0,0,1
2020/3/5,China,Macau,0,0,0
2020/3/5,China,Heilongjiang,1,6,0
2020/3/5,China,Henan,0,10,0
2020/3/5,China,Hong Kong,3,6,0
2020/3/5,China,Hongkong,0,0,0
2020/3/5,China,Hubei,134,2035,31
2020/3/5,China,Hunan,0,22,0
2020/3/5,China,Jiangsu,0,6,0
2020/3/5,China,Jiangxi,0,17,0
2020/3/5,China,Jilin,0,2,0
2020/3/5,China,Hebei,0,3,0
2020/3/6,China,Taiwan,1,0,0
2020/3/6,China,Sichuan,0,17,0
2020/3/6,China,Shanxi,0,0,0
2020/3/6,China,Qinghai,0,0,0
2020/3/6,China,Shandong,0,40,0
2020/3/6,China,Shaanxi,0,2,0
2020/3/6,China,Tianjin,0,0,0
2020/3/6,China,Shanghai,3,3,0
2020/3/6,China,Xinjiang,0,1,0
2020/3/6,Germany,Germany,216,0,0
2020/3/6,China,Yunnan,0,1,0
2020/3/6,China,Zhejiang,0,23,0
2020/3/6,France,France,292,0,5
2020/3/6,Iran,Iran,1825,361,32
2020/3/6,Italy,Italy,838,138,41
2020/3/6,Korea,Korea,505,0,6
2020/3/6,Spain,Spain,116,0,0
2020/3/6,USA,USA,79,0,3
2020/3/6,China,Ningxia,0,2,0
2020/3/6,China,Xizang,0,0,0
2020/3/6,else,else,549,11,2
2020/3/6,China,Neimenggu,0,1,0
2020/3/6,China,Liaoning,0,0,0
2020/3/6,China,Macau,0,1,0
2020/3/6,China,Anhui,0,9,0
2020/3/6,China,Beijing,4,2,0
2020/3/6,China,Chongqing,0,11,0
2020/3/6,China,Fujian,0,7,0
2020/3/6,China,Gansu,17,0,0
2020/3/6,China,Guangxi,0,3,0
2020/3/6,China,Guizhou,0,0,0
2020/3/6,China,Hainan,0,0,0
2020/3/6,China,Guangdong,1,28,0
2020/3/6,China,Heilongjiang,0,17,0
2020/3/6,China,Hebei,0,1,0
2020/3/6,China,Jiangxi,0,8,0
2020/3/6,China,Jiangsu,0,11,0
2020/3/6,China,Hunan,0,17,0
2020/3/6,China,Jilin,0,2,0
2020/3/6,China,Hongkong,0,0,0
2020/3/6,China,Hong Kong,1,3,0
2020/3/6,China,Henan,0,-1,0
2020/3/6,China,Hubei,126,1441,29
2020/3/7,China,Tianjin,0,0,0
2020/3/7,China,Qinghai,0,0,0
2020/3/7,China,Shaanxi,0,0,0
2020/3/7,China,Shandong,0,9,0
2020/3/7,China,Shanghai,0,7,0
2020/3/7,China,Shanxi,0,0,0
2020/3/7,China,Sichuan,0,12,0
2020/3/7,China,Taiwan,0,0,0
2020/3/7,China,Xinjiang,0,1,0
2020/3/7,China,Ningxia,0,0,0
2020/3/7,China,Yunnan,0,0,0
2020/3/7,China,Zhejiang,0,7,0
2020/3/7,France,France,36,0,0
2020/3/7,Germany,Germany,122,0,0
2020/3/7,Iran,Iran,1076,756,21
2020/3/7,Italy,Italy,709,109,49
2020/3/7,Korea,Korea,448,67,5
2020/3/7,Spain,Spain,42,0,0
2020/3/7,USA,USA,92,7,0
2020/3/7,else,else,494,5,3
2020/3/7,China,Neimenggu,0,2,0
2020/3/7,China,Xizang,0,0,0
2020/3/7,China,Liaoning,0,1,0
2020/3/7,China,Anhui,0,0,0
2020/3/7,China,Beijing,4,4,0
2020/3/7,China,Chongqing,0,8,0
2020/3/7,China,Fujian,0,11,0
2020/3/7,China,Gansu,1,0,0
2020/3/7,China,Guangdong,0,21,0
2020/3/7,China,Guangxi,0,1,0
2020/3/7,China,Guizhou,0,1,0
2020/3/7,China,Hainan,0,0,0
2020/3/7,China,Macau,0,0,0
2020/3/7,China,Heilongjiang,0,7,0
2020/3/7,China,Henan,0,1,0
2020/3/7,China,Hong Kong,2,5,0
2020/3/7,China,Hongkong,0,0,0
2020/3/7,China,Hubei,74,1467,28
2020/3/7,China,Hunan,0,5,0
2020/3/7,China,Jiangsu,0,12,0
2020/3/7,China,Jiangxi,0,7,0
2020/3/7,China,Jilin,0,0,0
2020/3/7,China,Hebei,0,2,0
2020/3/8,China,Taiwan,0,1,0
2020/3/8,China,Sichuan,0,10,0
2020/3/8,China,Shanxi,0,0,0
2020/3/8,China,Qinghai,0,0,0
2020/3/8,China,Shandong,0,15,0
2020/3/8,China,Shaanxi,0,1,0
2020/3/8,China,Tianjin,0,0,0
2020/3/8,China,Shanghai,0,1,0
2020/3/8,China,Xinjiang,0,1,0
2020/3/8,Germany,Germany,160,0,0
2020/3/8,China,Yunnan,0,0,0
2020/3/8,China,Zhejiang,0,7,0
2020/3/8,France,France,336,0,7
2020/3/8,Iran,Iran,743,465,49
2020/3/8,Italy,Italy,1247,66,36
2020/3/8,Korea,Korea,273,0,3
2020/3/8,Spain,Spain,129,0,9
2020/3/8,USA,USA,121,0,5
2020/3/8,China,Ningxia,0,0,0
2020/3/8,China,Xizang,0,0,0
2020/3/8,China,Neimenggu,0,3,0
2020/3/8,else,else,522,2,4
2020/3/8,China,Liaoning,0,2,0
2020/3/8,China,Anhui,0,5,0
2020/3/8,China,Beijing,2,5,0
2020/3/8,China,Chongqing,0,5,0
2020/3/8,China,Fujian,0,0,0
2020/3/8,China,Gansu,4,0,0
2020/3/8,China,Guangdong,0,19,0
2020/3/8,China,Guangxi,0,5,0
2020/3/8,China,Guizhou,0,2,0
2020/3/8,China,Hainan,0,1,0
2020/3/8,China,Macau,0,0,0
2020/3/8,China,Heilongjiang,0,9,0
2020/3/8,China,Henan,0,3,0
2020/3/8,China,Hong Kong,6,7,1
2020/3/8,China,Hongkong,0,0,0
2020/3/8,China,Hubei,41,1735,27
2020/3/8,China,Hunan,0,8,0
2020/3/8,China,Jiangsu,0,6,0
2020/3/8,China,Jiangxi,0,3,0
2020/3/8,China,Jilin,0,0,0
2020/3/8,China,Hebei,0,0,0
2020/3/9,China,Taiwan,0,2,0
2020/3/9,China,Sichuan,0,2,0
2020/3/9,China,Shanxi,0,1,0
2020/3/9,China,Qinghai,0,0,0
2020/3/9,China,Shandong,0,58,0
2020/3/9,China,Shaanxi,0,0,0
2020/3/9,China,Tianjin,0,2,0
2020/3/9,China,Shanghai,0,1,0
2020/3/9,China,Xinjiang,0,0,0
2020/3/9,Germany,Germany,265,0,0
2020/3/9,China,Yunnan,0,0,0
2020/3/9,China,Zhejiang,0,15,0
2020/3/9,France,France,177,0,3
2020/3/9,Iran,Iran,595,60,43
2020/3/9,Italy,Italy,1492,33,133
2020/3/9,Korea,Korea,164,58,3
2020/3/9,Spain,Spain,483,0,15
2020/3/9,USA,USA,127,0,2
2020/3/9,China,Ningxia,0,0,0
2020/3/9,China,Xizang,0,0,0
2020/3/9,else,else,535,21,5
2020/3/9,China,Neimenggu,0,0,0
2020/3/9,China,Liaoning,0,0,0
2020/3/9,China,Macau,0,0,0
2020/3/9,China,Anhui,0,0,0
2020/3/9,China,Beijing,0,7,0
2020/3/9,China,Chongqing,0,9,0
2020/3/9,China,Fujian,0,0,0
2020/3/9,China,Gansu,0,1,0
2020/3/9,China,Guangxi,0,7,0
2020/3/9,China,Guizhou,0,6,0
2020/3/9,China,Hainan,0,0,0
2020/3/9,China,Guangdong,0,4,1
2020/3/9,China,Heilongjiang,0,18,0
2020/3/9,China,Hebei,0,0,0
2020/3/9,China,Jiangxi,0,4,0
2020/3/9,China,Jiangsu,0,9,0
2020/3/9,China,Hunan,0,11,0
2020/3/9,China,Jilin,0,1,0
2020/3/9,China,Hongkong,0,0,0
2020/3/9,China,Hong Kong,1,1,0
2020/3/9,China,Henan,0,0,0
2020/3/9,China,Hubei,36,1253,22
2020/3/10,China,Tianjin,0,1,0
2020/3/10,China,Qinghai,0,0,0
2020/3/10,China,Shaanxi,0,1,0
2020/3/10,China,Shandong,0,19,0
2020/3/10,China,Shanghai,2,4,0
2020/3/10,China,Shanxi,0,1,0
2020/3/10,China,Sichuan,0,12,0
2020/3/10,China,Taiwan,2,2,0
2020/3/10,China,Xinjiang,0,0,0
2020/3/10,China,Ningxia,0,0,0
2020/3/10,China,Yunnan,0,0,0
2020/3/10,China,Zhejiang,0,15,0
2020/3/10,France,France,480,0,11
2020/3/10,Germany,Germany,127,0,2
2020/3/10,Iran,Iran,881,537,54
2020/3/10,Italy,Italy,1797,102,97
2020/3/10,Korea,Korea,35,81,1
2020/3/10,Spain,Spain,649,0,10
2020/3/10,USA,USA,132,0,5
2020/3/10,China,Xizang,0,0,0
2020/3/10,China,Neimenggu,0,0,0
2020/3/10,else,else,1173,498,11
2020/3/10,China,Liaoning,0,2,0
2020/3/10,China,Anhui,0,0,0
2020/3/10,China,Beijing,1,5,0
2020/3/10,China,Chongqing,0,7,0
2020/3/10,China,Fujian,0,0,0
2020/3/10,China,Gansu,1,0,0
2020/3/10,China,Guangdong,1,14,0
2020/3/10,China,Guangxi,0,4,0
2020/3/10,China,Guizhou,0,6,0
2020/3/10,China,Hainan,0,0,0
2020/3/10,China,Macau,0,0,0
2020/3/10,China,Heilongjiang,0,4,0
2020/3/10,China,Hebei,0,0,0
2020/3/10,China,Jiangxi,0,4,0
2020/3/10,China,Jiangsu,0,6,0
2020/3/10,China,Hunan,0,11,0
2020/3/10,China,Jilin,0,0,0
2020/3/10,China,Hongkong,0,0,0
2020/3/10,China,Hong Kong,3,1,0
2020/3/10,China,Henan,0,0,0
2020/3/10,China,Hubei,17,1255,16
2020/3/11,China,Xinjiang,0,0,0
2020/3/11,China,Shaanxi,0,4,0
2020/3/11,China,Shandong,2,7,0
2020/3/11,China,Shanxi,0,3,0
2020/3/11,China,Sichuan,0,10,0
2020/3/11,China,Taiwan,1,0,0
2020/3/11,China,Tianjin,0,0,0
2020/3/11,China,Xizang,0,0,0
2020/3/11,Iran,Iran,958,228,63
2020/3/11,China,Zhejiang,0,4,0
2020/3/11,France,France,178,0,3
2020/3/11,Germany,Germany,285,0,0
2020/3/11,China,Qinghai,0,0,0
2020/3/11,Italy,Italy,1111,280,168
2020/3/11,Korea,Korea,242,41,7
2020/3/11,Spain,Spain,480,181,12
2020/3/11,USA,USA,300,0,5
2020/3/11,else,else,699,6,11
2020/3/11,China,Yunnan,0,0,0
2020/3/11,China,Ningxia,0,1,0
2020/3/11,China,Shanghai,0,1,0
2020/3/11,China,Neimenggu,0,1,0
2020/3/11,China,Macau,0,0,0
2020/3/11,China,Anhui,0,0,0
2020/3/11,China,Beijing,6,6,0
2020/3/11,China,Chongqing,0,7,0
2020/3/11,China,Fujian,0,0,0
2020/3/11,China,Gansu,2,0,0
2020/3/11,China,Guangxi,0,4,0
2020/3/11,China,Guizhou,0,4,0
2020/3/11,China,Hainan,0,0,0
2020/3/11,China,Hebei,0,0,0
2020/3/11,China,Guangdong,3,8,0
2020/3/11,China,Henan,1,2,0
2020/3/11,China,Heilongjiang,1,2,0
2020/3/11,China,Jilin,0,0,0
2020/3/11,China,Jiangxi,0,5,0
2020/3/11,China,Jiangsu,0,0,0
2020/3/11,China,Liaoning,0,0,0
2020/3/11,China,Hubei,13,1391,22
2020/3/11,China,Hongkong,0,0,0
2020/3/11,China,Hong Kong,8,5,0
2020/3/11,China,Hunan,0,5,0
2020/3/12,China,Tianjin,0,1,0
2020/3/12,China,Qinghai,0,0,0
2020/3/12,China,Shaanxi,0,0,1
2020/3/12,China,Shandong,0,8,0
2020/3/12,China,Shanghai,0,1,0
2020/3/12,China,Shanxi,0,1,0
2020/3/12,China,Sichuan,0,10,0
2020/3/12,China,Taiwan,1,3,0
2020/3/12,China,Xinjiang,0,0,0
2020/3/12,China,Ningxia,0,0,0
2020/3/12,China,Yunnan,0,0,0
2020/3/12,China,Zhejiang,0,2,0
2020/3/12,France,France,497,0,15
2020/3/12,Germany,Germany,554,0,1
2020/3/12,Iran,Iran,1075,317,75
2020/3/12,Italy,Italy,2179,41,196
2020/3/12,Korea,Korea,114,0,0
2020/3/12,Spain,Spain,840,6,37
2020/3/12,USA,USA,0,0,0
2020/3/12,China,Xizang,0,0,0
2020/3/12,else,else,1912,42,24
2020/3/12,China,Neimenggu,0,0,0
2020/3/12,China,Liaoning,0,1,0
2020/3/12,China,Anhui,0,0,0
2020/3/12,China,Beijing,0,8,0
2020/3/12,China,Chongqing,0,5,0
2020/3/12,China,Fujian,0,0,0
2020/3/12,China,Gansu,0,0,0
2020/3/12,China,Guangdong,0,7,0
2020/3/12,China,Guangxi,0,3,0
2020/3/12,China,Guizhou,0,4,0
2020/3/12,China,Hainan,0,1,0
2020/3/12,China,Macau,0,0,0
2020/3/12,China,Heilongjiang,0,5,0
2020/3/12,China,Henan,0,0,0
2020/3/12,China,Hong Kong,3,2,0
2020/3/12,China,Hongkong,0,0,0
2020/3/12,China,Hubei,8,1184,10
2020/3/12,China,Hunan,0,4,0
2020/3/12,China,Jiangsu,0,2,0
2020/3/12,China,Jiangxi,0,2,0
2020/3/12,China,Jilin,0,1,0
2020/3/12,China,Hebei,0,1,0
2020/3/13,China,Taiwan,1,0,0
2020/3/13,China,Sichuan,0,5,0
2020/3/13,China,Shanxi,0,1,0
2020/3/13,China,Qinghai,0,0,0
2020/3/13,China,Shandong,0,5,1
2020/3/13,China,Shaanxi,0,0,0
2020/3/13,China,Tianjin,0,0,0
2020/3/13,China,Shanghai,2,3,0
2020/3/13,China,Xinjiang,0,0,0
2020/3/13,Germany,Germany,1039,0,4
2020/3/13,China,Yunnan,0,0,0
2020/3/13,China,Zhejiang,0,0,0
2020/3/13,France,France,595,0,13
2020/3/13,Iran,Iran,1289,253,85
2020/3/13,Italy,Italy,2651,213,189
2020/3/13,Korea,Korea,110,222,11
2020/3/13,Spain,Spain,1241,0,36
2020/3/13,USA,USA,631,0,8
2020/3/13,China,Ningxia,0,0,0
2020/3/13,China,Xizang,0,0,0
2020/3/13,else,else,2725,63,9
2020/3/13,China,Neimenggu,0,0,0
2020/3/13,China,Liaoning,0,0,0
2020/3/13,China,Macau,0,0,0
2020/3/13,China,Anhui,0,0,0
2020/3/13,China,Beijing,1,8,0
2020/3/13,China,Chongqing,0,10,0
2020/3/13,China,Fujian,0,0,0
2020/3/13,China,Gansu,0,0,0
2020/3/13,China,Guangxi,0,2,0
2020/3/13,China,Guizhou,0,3,0
2020/3/13,China,Hainan,0,0,0
2020/3/13,China,Guangdong,0,7,0
2020/3/13,China,Heilongjiang,0,5,0
2020/3/13,China,Hebei,0,2,0
2020/3/13,China,Jiangxi,0,0,0
2020/3/13,China,Jiangsu,0,1,0
2020/3/13,China,Hunan,0,6,0
2020/3/13,China,Jilin,0,0,0
2020/3/13,China,Hongkong,0,0,0
2020/3/13,China,Hong Kong,5,10,1
2020/3/13,China,Henan,0,0,0
2020/3/13,China,Hubei,5,1235,6
2020/3/14,China,Tianjin,0,0,0
2020/3/14,China,Qinghai,0,0,0
2020/3/14,China,Shaanxi,0,0,0
2020/3/14,China,Shandong,0,2,0
2020/3/14,China,Shanghai,6,0,0
2020/3/14,China,Shanxi,0,0,0
2020/3/14,China,Sichuan,0,8,0
2020/3/14,China,Taiwan,3,0,0
2020/3/14,China,Xinjiang,0,0,0
2020/3/14,China,Ningxia,0,1,0
2020/3/14,China,Yunnan,0,0,0
2020/3/14,China,Zhejiang,12,14,0
2020/3/14,France,France,785,0,18
2020/3/14,Germany,Germany,0,0,0
2020/3/14,Iran,Iran,1365,0,0
2020/3/14,Italy,Italy,2547,181,250
2020/3/14,Korea,Korea,107,0,0
2020/3/14,Spain,Spain,1023,0,0
2020/3/14,USA,USA,449,0,2
2020/3/14,else,else,1870,27,12
2020/3/14,China,Neimenggu,0,0,0
2020/3/14,China,Xizang,0,0,0
2020/3/14,China,Liaoning,0,1,0
2020/3/14,China,Anhui,0,0,0
2020/3/14,China,Beijing,1,7,0
2020/3/14,China,Chongqing,0,2,0
2020/3/14,China,Fujian,0,0,0
2020/3/14,China,Gansu,2,1,0
2020/3/14,China,Guangdong,0,3,0
2020/3/14,China,Guangxi,0,0,0
2020/3/14,China,Guizhou,0,3,0
2020/3/14,China,Hainan,0,0,0
2020/3/14,China,Macau,0,0,0
2020/3/14,China,Heilongjiang,0,1,0
2020/3/14,China,Henan,0,1,0
2020/3/14,China,Hong Kong,6,1,0
2020/3/14,China,Hongkong,0,0,0
2020/3/14,China,Hubei,4,1407,13
2020/3/14,China,Hunan,0,9,0
2020/3/14,China,Jiangsu,0,0,0
2020/3/14,China,Jiangxi,0,0,0
2020/3/14,China,Jilin,0,0,0
2020/3/14,China,Hebei,0,0,0
2020/3/15,China,Tianjin,0,1,0
2020/3/15,China,Taiwan,6,0,0
2020/3/15,China,Sichuan,0,5,0
2020/3/15,China,Shaanxi,0,0,0
2020/3/15,China,Shanghai,1,0,0
2020/3/15,China,Shandong,0,0,0
2020/3/15,China,Xinjiang,0,0,0
2020/3/15,China,Shanxi,0,0,0
2020/3/15,China,Xizang,0,0,0
2020/3/15,Iran,Iran,1209,1061,210
2020/3/15,China,Zhejiang,4,0,0
2020/3/15,France,France,839,24,12
2020/3/15,Germany,Germany,1749,0,2
2020/3/15,Italy,Italy,3610,527,175
2020/3/15,Korea,Korea,76,324,3
2020/3/15,Spain,Spain,2521,382,168
2020/3/15,USA,USA,801,0,19
2020/3/15,else,else,2745,71,54
2020/3/15,China,Qinghai,0,0,0
2020/3/15,China,Yunnan,0,2,0
2020/3/15,China,Ningxia,0,0,0
2020/3/15,China,Neimenggu,0,0,0
2020/3/15,China,Macau,0,0,0
2020/3/15,China,Beijing,5,4,0
2020/3/15,China,Chongqing,0,4,0
2020/3/15,China,Fujian,0,0,0
2020/3/15,China,Gansu,4,2,0
2020/3/15,China,Guangdong,4,5,0
2020/3/15,China,Guangxi,0,0,0
2020/3/15,China,Guizhou,0,0,0
2020/3/15,China,Hainan,0,0,0
2020/3/15,China,Hebei,0,0,0
2020/3/15,China,Anhui,0,0,0
2020/3/15,China,Henan,0,0,0
2020/3/15,China,Hong Kong,5,3,0
2020/3/15,China,Hongkong,0,0,0
2020/3/15,China,Hubei,4,1328,10
2020/3/15,China,Hunan,0,0,0
2020/3/15,China,Jiangsu,0,1,0
2020/3/15,China,Jiangxi,0,0,0
2020/3/15,China,Jilin,0,0,0
2020/3/15,China,Liaoning,0,1,0
2020/3/15,China,Heilongjiang,0,6,0
2020/3/16,China,Tianjin,0,0,0
2020/3/16,China,Taiwan,8,0,0
2020/3/16,China,Sichuan,0,0,0
2020/3/16,China,Shaanxi,0,1,0
2020/3/16,China,Shanghai,2,1,0
2020/3/16,China,Shandong,0,5,0
2020/3/16,China,Xinjiang,0,0,0
2020/3/16,China,Shanxi,0,0,0
2020/3/16,China,Xizang,0,0,0
2020/3/16,Iran,Iran,1053,406,129
2020/3/16,China,Zhejiang,0,5,0
2020/3/16,France,France,923,0,36
2020/3/16,Germany,Germany,1805,0,4
2020/3/16,Italy,Italy,3668,369,368
2020/3/16,Korea,Korea,74,303,0
2020/3/16,Spain,Spain,1438,0,21
2020/3/16,USA,USA,815,0,6
2020/3/16,else,else,2529,84,30
2020/3/16,China,Qinghai,0,0,0
2020/3/16,China,Yunnan,1,0,0
2020/3/16,China,Ningxia,0,2,0
2020/3/16,China,Neimenggu,0,2,0
2020/3/16,China,Macau,1,0,0
2020/3/16,China,Beijing,10,7,0
2020/3/16,China,Chongqing,0,0,0
2020/3/16,China,Fujian,0,0,0
2020/3/16,China,Gansu,0,0,0
2020/3/16,China,Guangdong,1,2,0
2020/3/16,China,Guangxi,0,5,0
