Date,AveragePrice,Total Volume,Small Bags,Large Bags,XLarge Bags,type,year,region
2015/5/10,1.26,120427.91,16535.55,285.75,0,conventional,2015,Albany
2015/5/3,1.2,59197.67,12201.95,368.56,0,conventional,2015,Albany
2015/4/26,1.22,49585.46,12076.83,701.61,0,conventional,2015,Albany
2015/4/19,1.19,49064.73,13602.97,698.95,0,conventional,2015,Albany
2015/4/12,1.13,48364.29,16438.49,665.88,0,conventional,2015,Albany
2015/4/5,1.16,47362.13,9869.16,755.61,104.17,conventional,2015,Albany
2015/3/29,1.02,67799.08,7208.49,475.59,0,conventional,2015,Albany
2015/3/22,1.12,46346.85,9252.6,497.06,0,conventional,2015,Albany
2015/3/15,1.11,43045.79,9989.59,381.1,0,conventional,2015,Albany
2015/3/8,1.07,40507.36,8827.55,354.44,0,conventional,2015,Albany
2015/3/1,0.99,55595.74,8986.06,165.39,0,conventional,2015,Albany
2015/2/22,1.07,45675.05,9000.16,379.38,0,conventional,2015,Albany
2015/2/15,1.06,41567.62,9979.87,333.16,0,conventional,2015,Albany
2015/2/8,0.99,51253.97,10113.1,508.44,0,conventional,2015,Albany
2015/2/1,0.99,70873.6,9170.82,152.36,0,conventional,2015,Albany
2015/1/25,1.06,45147.5,10103.35,742.47,0,conventional,2015,Albany
2015/1/18,1.17,44511.28,11651.09,269.96,0,conventional,2015,Albany
2015/1/11,1.24,41195.08,8036.04,388.73,0,conventional,2015,Albany
2015/1/4,1.22,40873.28,9186.93,529.53,0,conventional,2015,Albany
2015/12/27,0.99,386100.49,48605.95,17748.36,0,conventional,2015,Atlanta
2015/12/20,1.08,331377.53,46930.26,11867.61,0,conventional,2015,Atlanta
2015/12/13,0.96,417772.47,38903.57,22628.21,13.53,conventional,2015,Atlanta
2015/12/6,1.07,357636.82,37032.67,13654.66,2.71,conventional,2015,Atlanta
2015/11/29,0.99,333280.79,33031.72,20738.55,24.41,conventional,2015,Atlanta
2015/11/22,1,356414.57,36992.3,19389.78,0,conventional,2015,Atlanta
2015/11/15,1.13,339860.68,33656.42,13390.06,0,conventional,2015,Atlanta
2015/11/8,1.12,334041.6,35662.93,12941.12,24.6,conventional,2015,Atlanta
2015/11/1,0.99,419088.74,39460.77,25929.39,8.22,conventional,2015,Atlanta
2015/10/25,1.09,358478.08,31826.88,24924.58,0,conventional,2015,Atlanta
2015/10/18,1.09,349072.48,36884.35,23454.84,0,conventional,2015,Atlanta
2015/10/11,0.95,433874.46,41159.96,45134.15,0,conventional,2015,Atlanta
2015/10/4,0.96,418682.26,14875.64,44584.77,0,conventional,2015,Atlanta
2015/9/27,1.07,370321.17,20533.87,25125.65,2.78,conventional,2015,Atlanta
2015/9/20,0.93,516432.6,33698.43,52442.25,61.28,conventional,2015,Atlanta
2015/9/13,1.07,417232.18,46290.32,29678.76,13.94,conventional,2015,Atlanta
2015/9/6,0.97,472136.53,49833.55,44549.67,52.97,conventional,2015,Atlanta
2015/8/30,1.15,382972.72,47138.07,14112.5,30.67,conventional,2015,Atlanta
2015/8/23,1.12,379054.29,45534.11,11883.98,0,conventional,2015,Atlanta
2015/8/16,1.09,465213.81,45068.25,14148.65,0,conventional,2015,Atlanta
2015/8/9,1.01,503791.72,45820.45,21568.48,83.27,conventional,2015,Atlanta
2015/8/2,1.15,405898.44,42126.47,11720.3,41.55,conventional,2015,Atlanta
2015/7/26,1.08,437377.75,45114.22,12096.44,0,conventional,2015,Atlanta
2015/7/19,0.97,557212.99,45099.87,16192.5,0,conventional,2015,Atlanta
2015/7/12,1.14,407204.88,46023.59,12280.26,0,conventional,2015,Atlanta
2015/7/5,1.01,562462.33,50684.74,19851,24.75,conventional,2015,Atlanta
2015/6/28,1.13,435210.71,52099.76,13108.03,134.4,conventional,2015,Atlanta
2015/6/21,0.99,554763.76,55484.76,19010.81,46.54,conventional,2015,Atlanta
2015/6/14,1.1,465804.78,48612.13,12578.28,71.03,conventional,2015,Atlanta
2015/6/7,0.99,551009.05,50954.84,21329.99,5.45,conventional,2015,Atlanta
2015/5/31,1.1,454702,40505.16,11199.95,29.91,conventional,2015,Atlanta
2015/5/24,0.96,623212.04,33867,22651.15,21.72,conventional,2015,Atlanta
2015/5/17,1.11,451250.7,33710.2,11682.09,0,conventional,2015,Atlanta
2015/5/10,1.1,480071.18,34108.44,12559.82,0,conventional,2015,Atlanta
2015/5/3,1,634213.1,32520.82,33660.81,0,conventional,2015,Atlanta
2015/4/26,1.12,448596.76,31315.29,10196.55,0,conventional,2015,Atlanta
2015/4/19,1.12,430966.34,29661.72,13680.88,0,conventional,2015,Atlanta
2015/4/12,0.99,451101.89,25833.07,25051.25,0,conventional,2015,Atlanta
2015/4/5,1.04,383139.49,28612.48,16289.92,134.72,conventional,2015,Atlanta
2015/3/29,1.11,365722.14,29313.92,14466.33,0,conventional,2015,Atlanta
2015/3/22,1,479590.62,40495.12,21766.54,13.44,conventional,2015,Atlanta
2015/3/15,1.12,399566.22,34911.7,11625.94,37.59,conventional,2015,Atlanta
2015/3/8,1.1,420826.32,33847.33,9394.09,0,conventional,2015,Atlanta
2015/3/1,0.99,512532.44,32180.9,17273.38,2.68,conventional,2015,Atlanta
2015/2/22,1.1,431308.56,33423.74,10006.3,0,conventional,2015,Atlanta
2015/2/15,1.06,427391.28,26727.66,18158.26,0,conventional,2015,Atlanta
2015/2/8,1.03,433883.91,18044.41,20895.77,0,conventional,2015,Atlanta
2015/2/1,0.96,636771.37,10553.73,41140.76,0,conventional,2015,Atlanta
2015/1/25,1.1,449332.85,13176.39,23435.77,0,conventional,2015,Atlanta
2015/1/18,1.11,431490.99,16782.71,23257.77,0,conventional,2015,Atlanta
2015/1/11,1.11,397542.72,21309.61,25728.47,0,conventional,2015,Atlanta
2015/1/4,1,435021.49,16707.15,30108.64,0,conventional,2015,Atlanta
2015/12/27,1.17,596819.4,142543.88,2367.22,0,conventional,2015,BaltimoreWashington
2015/12/20,1.11,642682.4,141751.91,2486.16,0,conventional,2015,BaltimoreWashington
2015/12/13,1.15,619509.33,149070.4,1895.88,0,conventional,2015,BaltimoreWashington
2015/12/6,1.04,649141.25,117112.77,1552.2,0,conventional,2015,BaltimoreWashington
2015/11/29,1.16,545800.05,103615.95,1852.33,0,conventional,2015,BaltimoreWashington
2015/11/22,1.12,572019.8,119007.61,2663.12,0,conventional,2015,BaltimoreWashington
2015/11/15,1.04,718330.48,125297.67,4462.69,0,conventional,2015,BaltimoreWashington
2015/11/8,1.05,830967.23,138777.63,6062.58,0,conventional,2015,BaltimoreWashington
2015/11/1,1.12,742220.67,152716.4,5209.3,0,conventional,2015,BaltimoreWashington
2015/10/25,1.19,656892.03,149987.55,6141.14,0,conventional,2015,BaltimoreWashington
2015/10/18,0.99,1005603.78,146421.02,5504.62,0,conventional,2015,BaltimoreWashington
2015/10/11,1.24,653560.14,163669.01,4685.41,0,conventional,2015,BaltimoreWashington
2015/10/4,1.28,657444.04,167494.61,4739.41,0,conventional,2015,BaltimoreWashington
2015/9/27,1.19,696281.81,146792.81,5100.31,0,conventional,2015,BaltimoreWashington
2015/9/20,1.17,709268.62,168889.78,5139.84,0,conventional,2015,BaltimoreWashington
2015/9/13,1.09,924993.61,145686.02,5813.54,0,conventional,2015,BaltimoreWashington
2015/9/6,1.18,823623.36,165696.58,3268.72,5.54,conventional,2015,BaltimoreWashington
2015/8/30,1.24,734721.29,181968.79,3158.9,176.55,conventional,2015,BaltimoreWashington
2015/8/23,1.16,783935.36,175047.15,3060.44,269.18,conventional,2015,BaltimoreWashington
2015/8/16,1.14,882754.72,153156.63,2796.82,21.9,conventional,2015,BaltimoreWashington
2015/8/9,1.16,821523.45,161564.81,3298.08,0,conventional,2015,BaltimoreWashington
2015/8/2,1.17,800603.23,163667.68,3061.24,0,conventional,2015,BaltimoreWashington
2015/7/26,1.2,772926.12,174774.8,3880.04,5.41,conventional,2015,BaltimoreWashington
2015/7/19,1.18,800194.34,196837.6,3862.02,13.47,conventional,2015,BaltimoreWashington
2015/7/12,1.1,850931.58,189236.32,4406.05,244.8,conventional,2015,BaltimoreWashington
2015/7/5,1.16,896298.77,200097.99,5890.57,120.33,conventional,2015,BaltimoreWashington
2015/6/28,1.15,862261.64,207378.09,4022.51,164.03,conventional,2015,BaltimoreWashington
2015/6/21,1.16,862840.73,220904.35,3488.37,230.01,conventional,2015,BaltimoreWashington
2015/6/14,1.09,955046.82,244982.26,3668.3,546.62,conventional,2015,BaltimoreWashington
2015/6/7,1.26,794310.29,221165.85,3626.41,260.58,conventional,2015,BaltimoreWashington
2015/5/31,1.19,949177.06,211787.29,5730.22,268.04,conventional,2015,BaltimoreWashington
2015/5/24,1.18,908661.83,228842.95,5548.94,111.28,conventional,2015,BaltimoreWashington
2015/5/17,1.27,790853.86,222163.1,5152.19,15.88,conventional,2015,BaltimoreWashington
2015/5/10,1.26,855205.82,215572.03,8947.03,0,conventional,2015,BaltimoreWashington
2015/5/3,1.17,896972.05,201874.28,7767.45,44.44,conventional,2015,BaltimoreWashington
2015/4/26,1.29,747841.09,212064.73,6184.29,102.78,conventional,2015,BaltimoreWashington
2015/4/19,1.28,762862.62,219885.88,5741.41,0,conventional,2015,BaltimoreWashington
2015/4/12,1.15,837629.62,196076.34,5315.67,0,conventional,2015,BaltimoreWashington
2015/4/5,1.29,688065.45,184109.06,6357.06,873.61,conventional,2015,BaltimoreWashington
2015/3/29,1.25,663677.32,158964.08,4804.54,0,conventional,2015,BaltimoreWashington
2015/3/22,1.1,808897.21,171699.95,4685.67,0,conventional,2015,BaltimoreWashington
2015/3/15,1.24,693698.13,193130.9,4733.86,0,conventional,2015,BaltimoreWashington
2015/3/8,1.26,657745.9,188374.49,4147.77,0,conventional,2015,BaltimoreWashington
2015/3/1,1.16,770115.24,168224.2,3736.87,0,conventional,2015,BaltimoreWashington
2015/2/22,1.11,749845.79,186976.97,3785.58,0,conventional,2015,BaltimoreWashington
2015/2/15,1.25,637319.34,174864.87,5125.31,0,conventional,2015,BaltimoreWashington
2015/2/8,1.09,844931.21,175771.39,5161.57,0,conventional,2015,BaltimoreWashington
2015/2/1,1.06,1007418.76,159916.87,4672.49,0,conventional,2015,BaltimoreWashington
2015/1/25,1.2,692934.46,209761.81,7588.83,0,conventional,2015,BaltimoreWashington
2015/1/18,1.23,657741.34,169390.88,4467.62,0,conventional,2015,BaltimoreWashington
2015/1/11,1.17,670231.94,151330.87,4075.65,0,conventional,2015,BaltimoreWashington
2015/1/4,1.08,788025.06,137146.07,3990.61,0,conventional,2015,BaltimoreWashington
2015/12/27,0.97,62909.69,23520.19,5.69,35.22,conventional,2015,Boise
2015/12/20,1.03,57504.05,21900.35,11.43,24.12,conventional,2015,Boise
2015/12/13,0.99,58461.05,21842.87,4.44,20.96,conventional,2015,Boise
2015/12/6,0.71,95295.34,42734.53,0,357.07,conventional,2015,Boise
2015/11/29,1.06,49069.13,15860.63,0,197.36,conventional,2015,Boise
2015/11/22,1.09,52875.58,17530.67,4.32,12.96,conventional,2015,Boise
2015/11/15,1.01,68648.22,25200.25,8.65,426.51,conventional,2015,Boise
2015/11/8,1.11,55847.79,12777.83,119.79,102.29,conventional,2015,Boise
2015/11/1,1.14,53585.51,12331.82,0,30.91,conventional,2015,Boise
2015/10/25,1.11,59874.45,13660.98,0,50.5,conventional,2015,Boise
2015/10/18,1.16,54191.14,8918,0,3.26,conventional,2015,Boise
2015/10/11,0.94,80904.19,13543.47,185.46,40.71,conventional,2015,Boise
2015/10/4,1.12,59496.33,5462.15,504.65,1.62,conventional,2015,Boise
2015/9/27,0.99,64187.8,7596.64,160,6.47,conventional,2015,Boise
2015/9/20,1.03,73952.9,10601.02,273.41,19.37,conventional,2015,Boise
2015/9/13,1.08,64208.84,7482.65,0,0,conventional,2015,Boise
2015/9/6,1.16,64464.61,6934.43,0,1.61,conventional,2015,Boise
2015/8/30,1.19,60099.83,5440.56,0,0,conventional,2015,Boise
2015/8/23,1.05,70773.76,7420.09,0,0,conventional,2015,Boise
2015/8/16,1.12,64001.61,6090.51,0,6.4,conventional,2015,Boise
2015/8/9,1.1,61286.98,7568.92,13.33,0,conventional,2015,Boise
2015/8/2,1.07,67763.91,5987.5,48.89,0,conventional,2015,Boise
2015/7/26,1.07,67826.07,6358.04,153.81,0,conventional,2015,Boise
2015/7/19,1.09,63958.04,6354.45,816.52,0,conventional,2015,Boise
2015/7/12,1.05,74677.72,8335.04,1236.88,0,conventional,2015,Boise
2015/7/5,1.15,85044.45,6557.06,80.55,0,conventional,2015,Boise
2015/6/28,1.04,75280.41,5619.44,0,1.63,conventional,2015,Boise
2015/6/21,1.06,81397.07,7021.56,0,264.71,conventional,2015,Boise
2015/6/14,0.99,87607.71,7800.04,0,0,conventional,2015,Boise
2015/6/7,1.12,80751.29,5603.8,8.76,0,conventional,2015,Boise
2015/5/31,0.97,76689.38,7860.31,5.84,0,conventional,2015,Boise
2015/5/24,1.03,83209.77,7469.51,0,37.75,conventional,2015,Boise
2015/5/17,0.96,77987.53,6345.82,0,8.19,conventional,2015,Boise
2015/5/10,1.06,95788.53,9453.06,0,42.47,conventional,2015,Boise
2015/5/3,1,85466.99,6349.93,0,4.88,conventional,2015,Boise
2015/4/26,0.96,88111.17,7174.6,0,4.85,conventional,2015,Boise
2015/4/19,0.99,89694.96,7953.8,0,6.42,conventional,2015,Boise
2015/4/12,1.19,66246.3,5747.78,0,0,conventional,2015,Boise
2015/4/5,1.09,76704.46,6510.61,0,3.17,conventional,2015,Boise
2015/3/29,0.98,74543.98,4789.54,0,0,conventional,2015,Boise
2015/3/22,1.17,61419.11,3311.77,0,0,conventional,2015,Boise
2015/3/15,1,65918.28,4445.9,0,0,conventional,2015,Boise
2015/3/8,1.14,65350.24,4860.43,0,0,conventional,2015,Boise
2015/3/1,1.06,75046.37,6478.75,759.23,0,conventional,2015,Boise
2015/2/22,0.99,76836.1,7235.2,232.07,0,conventional,2015,Boise
2015/2/15,1.14,61221.98,3647.52,1693.34,0,conventional,2015,Boise
2015/2/8,1.07,69970.75,1373.42,1673.75,0,conventional,2015,Boise
2015/2/1,0.91,113578.24,4867.26,1777.58,0,conventional,2015,Boise
2015/1/25,1.03,66069.21,2009.53,2520.51,0,conventional,2015,Boise
2015/1/18,1.08,62870.49,1119.18,2796.76,0,conventional,2015,Boise
2015/1/11,1.18,57355.52,3295.11,1628.64,0,conventional,2015,Boise
2015/1/4,1.01,80034.32,6064.3,1691.32,0,conventional,2015,Boise
2015/12/27,1.13,450816.39,85913.6,99.26,0,conventional,2015,Boston
2015/12/20,1.07,489802.88,88768.47,133.33,0,conventional,2015,Boston
2015/12/13,1.01,549945.76,89523.38,199.58,0,conventional,2015,Boston
2015/12/6,1.02,488679.31,75666.22,223.56,0,conventional,2015,Boston
2015/11/29,1.19,350559.81,73864.52,261.1,0,conventional,2015,Boston
2015/11/22,1.07,466759.99,78161.82,486.35,0,conventional,2015,Boston
2015/11/15,1.05,513738.98,85604.19,1747.96,0,conventional,2015,Boston
2015/11/8,1.04,641759.57,88265.25,5077.57,0,conventional,2015,Boston
2015/11/1,1.06,553096.84,93443.08,5064.84,0,conventional,2015,Boston
2015/10/25,1.02,534249.47,94581.94,4745.05,0,conventional,2015,Boston
2015/10/18,0.94,725296.29,86046.25,5003.33,0,conventional,2015,Boston
2015/10/11,1.14,485706.68,97513.23,4396.66,0,conventional,2015,Boston
2015/10/4,1.07,536479.42,97207.43,5831.48,0,conventional,2015,Boston
2015/9/27,1.07,553307.04,82123.56,2603.34,0,conventional,2015,Boston
2015/9/20,1.15,498640.23,91612.66,3558.89,0,conventional,2015,Boston
2015/9/13,1.03,655682.95,84843.55,4271.11,0,conventional,2015,Boston
2015/9/6,1.11,577774.74,94558.41,614.44,0,conventional,2015,Boston
2015/8/30,1.13,526664.87,83242.01,188.89,0,conventional,2015,Boston
2015/8/23,1.07,589471.32,95585.38,241.12,0,conventional,2015,Boston
2015/8/16,1.15,565795.06,95887.01,222.22,0,conventional,2015,Boston
2015/8/9,1.07,690517.19,94287.69,231.1,0,conventional,2015,Boston
2015/8/2,1.17,571994.5,97214.15,294.44,0,conventional,2015,Boston
2015/7/26,1.28,500233.69,100466.86,228.08,0,conventional,2015,Boston
2015/7/19,1.18,597168.12,109519,227.47,0,conventional,2015,Boston
2015/7/12,1.14,634515.74,146946.54,1236.05,0,conventional,2015,Boston
2015/7/5,1.27,582909.73,145982.99,2878.43,0,conventional,2015,Boston
2015/6/28,1.25,560494.92,142574.63,881.11,0,conventional,2015,Boston
2015/6/21,1.24,543504.66,125821.15,293.33,0,conventional,2015,Boston
2015/6/14,1.08,684346.48,151258.77,183.33,0,conventional,2015,Boston
2015/6/7,1.25,562542.86,137224.94,183.34,0,conventional,2015,Boston
2015/5/31,1.26,565160.95,142515.32,303.32,0,conventional,2015,Boston
2015/5/24,1.14,633521.98,137769.31,388.43,0,conventional,2015,Boston
2015/5/17,1.26,534488.54,147667.72,1858.4,0,conventional,2015,Boston
2015/5/10,1.14,625558.14,141309.43,2688.22,0,conventional,2015,Boston
2015/5/3,1.17,552368.94,115148.87,3565.39,0,conventional,2015,Boston
2015/4/26,1.28,465911.37,106866.42,2533.7,0,conventional,2015,Boston
2015/4/19,1.15,504619.83,114562.17,1000.55,0,conventional,2015,Boston
2015/4/12,1.26,408485.16,108644.33,1994.62,0,conventional,2015,Boston
2015/4/5,1.27,449818.01,113541.34,1948.64,145.83,conventional,2015,Boston
2015/3/29,1.19,453631.25,108838.11,1723.17,0,conventional,2015,Boston
2015/3/22,1.18,453173.22,102204.17,460.01,0,conventional,2015,Boston
2015/3/15,1.25,417750.36,101931.87,624.45,0,conventional,2015,Boston
2015/3/8,1.17,408403.96,113811.26,575.56,0,conventional,2015,Boston
2015/3/1,1.11,485736.1,97423.17,439.76,0,conventional,2015,Boston
2015/2/22,1.23,355432.28,100498.19,217.78,0,conventional,2015,Boston
2015/2/15,1.2,399883.99,114283.61,555.55,0,conventional,2015,Boston
2015/2/8,1.04,609985.34,105403.38,813.34,0,conventional,2015,Boston
2015/2/1,1.22,490022.14,109900.93,313.46,0,conventional,2015,Boston
2015/1/25,1.17,409343.56,115538.05,934.11,0,conventional,2015,Boston
2015/1/18,1.23,401331.33,108668.74,367.78,0,conventional,2015,Boston
2015/1/11,1.1,437771.89,111192.88,331.73,0,conventional,2015,Boston
2015/1/4,1.02,491738,87406.84,256.29,0,conventional,2015,Boston
2015/12/27,1.35,96233.08,55236.68,0,0,conventional,2015,BuffaloRochester
2015/12/20,1.37,90867.51,51165.21,0,0,conventional,2015,BuffaloRochester
2015/12/13,1.35,98473.23,56202.44,0,0,conventional,2015,BuffaloRochester
2015/12/6,1.23,108457.82,48355.65,0,0,conventional,2015,BuffaloRochester
2015/11/29,1.39,79973.14,42662.25,0,0,conventional,2015,BuffaloRochester
2015/11/22,1.4,90242.31,49642.35,0,0,conventional,2015,BuffaloRochester
2015/11/15,1.36,99703.72,55593.12,742.22,0,conventional,2015,BuffaloRochester
2015/11/8,1.3,111038.95,58885.65,1302.22,0,conventional,2015,BuffaloRochester
2015/11/1,1.23,118541.11,52956.4,1342.22,0,conventional,2015,BuffaloRochester
2015/10/25,1.36,99554.55,59381.21,1902.22,0,conventional,2015,BuffaloRochester
2015/10/18,1.29,106083.75,62627.47,1160,0,conventional,2015,BuffaloRochester
2015/10/11,1.3,109153.84,54829.61,1195.56,0,conventional,2015,BuffaloRochester
2015/10/4,1.33,98900.48,56141.23,1284.44,0,conventional,2015,BuffaloRochester
2015/9/27,1.31,90745.72,27767.19,671.11,0,conventional,2015,BuffaloRochester
2015/9/20,1.54,60624.47,18437.84,821.11,0,conventional,2015,BuffaloRochester
2015/9/13,1.59,73043.2,22421.87,445.56,0,conventional,2015,BuffaloRochester
2015/9/6,1.56,76139.58,25092.76,13.33,0,conventional,2015,BuffaloRochester
2015/8/30,1.38,83731.42,20483.02,0,0,conventional,2015,BuffaloRochester
2015/8/23,1.49,68953.29,23840.42,0,0,conventional,2015,BuffaloRochester
2015/8/16,1.5,69798.09,22371.73,0,0,conventional,2015,BuffaloRochester
2015/8/9,1.47,81830.13,24051.92,0,0,conventional,2015,BuffaloRochester
2015/8/2,1.47,78162.92,31622.86,0,0,conventional,2015,BuffaloRochester
2015/7/26,1.39,91825.07,43788.54,0,0,conventional,2015,BuffaloRochester
2015/7/19,1.36,128846.15,70982.41,0,0,conventional,2015,BuffaloRochester
2015/7/12,1.45,127351.46,73796.01,426.67,0,conventional,2015,BuffaloRochester
2015/7/5,1.47,140413.9,74370.82,906.67,0,conventional,2015,BuffaloRochester
2015/6/28,1.36,137246.7,78749.74,62.22,0,conventional,2015,BuffaloRochester
2015/6/21,1.5,108655.36,54130.44,0,0,conventional,2015,BuffaloRochester
2015/6/14,1.34,149376.79,95473.84,0,0,conventional,2015,BuffaloRochester
2015/6/7,1.38,130908.11,71990.67,0,0,conventional,2015,BuffaloRochester
2015/5/31,1.4,130841.08,75473.15,0,0,conventional,2015,BuffaloRochester
2015/5/24,1.43,121942.61,65741.52,44.44,0,conventional,2015,BuffaloRochester
2015/5/17,1.35,137050.23,73414.91,977.78,0,conventional,2015,BuffaloRochester
2015/5/10,1.33,170547.18,94832.56,453.33,0,conventional,2015,BuffaloRochester
2015/5/3,1.42,136771.79,84332.05,1102.22,43.06,conventional,2015,BuffaloRochester
2015/4/26,1.41,136964.3,85503.15,640,40.28,conventional,2015,BuffaloRochester
2015/4/19,1.42,139612.52,85056.94,519.86,0,conventional,2015,BuffaloRochester
2015/4/12,1.42,118172.53,70938.4,813.75,0,conventional,2015,BuffaloRochester
2015/4/5,1.44,124145.62,71408.88,597.92,50,conventional,2015,BuffaloRochester
2015/3/29,1.39,119890.65,69919,108.47,0,conventional,2015,BuffaloRochester
2015/3/22,1.4,119902.96,71288.59,55.56,0,conventional,2015,BuffaloRochester
2015/3/15,1.47,103413.11,54046.49,111.11,0,conventional,2015,BuffaloRochester
2015/3/8,1.35,125724.96,62216.63,360,0,conventional,2015,BuffaloRochester
2015/3/1,1.43,112363.86,69479.52,62.22,0,conventional,2015,BuffaloRochester
2015/2/22,1.41,109546.92,61765.34,546.67,0,conventional,2015,BuffaloRochester
2015/2/15,1.44,100207.14,55232.63,124.44,0,conventional,2015,BuffaloRochester
2015/2/8,1.36,132760.1,63918.25,595.56,0,conventional,2015,BuffaloRochester
2015/2/1,1.33,153920.35,86848.47,71.11,0,conventional,2015,BuffaloRochester
2015/1/25,1.5,114052.94,57909.74,740,0,conventional,2015,BuffaloRochester
2015/1/18,1.52,107040.29,43419.67,2.22,0,conventional,2015,BuffaloRochester
2015/1/11,1.54,106221.32,53514.26,0,0,conventional,2015,BuffaloRochester
2015/1/4,1.4,116253.44,57182.88,0,0,conventional,2015,BuffaloRochester
2015/12/27,0.9,5040365.47,1090140.07,110737.35,11829.59,conventional,2015,California
2015/12/20,0.94,4695737.21,1061703.58,136747.1,10714.52,conventional,2015,California
2015/12/13,0.87,5259354.3,1404012,180150.37,8275.96,conventional,2015,California
2015/12/6,0.78,5775536.27,1376640.91,126664.37,6962.06,conventional,2015,California
2015/11/29,0.91,4575710.62,991568.84,82338.39,7590.24,conventional,2015,California
2015/11/22,0.92,4804278.16,979612.52,82444.32,7249.07,conventional,2015,California
2015/11/15,0.83,5755190.69,1091768.68,53797.92,7352.34,conventional,2015,California
2015/11/8,0.98,5148983.51,813006.4,36305.96,6324.22,conventional,2015,California
2015/11/1,0.95,5830427.96,626993.54,19804.69,5117.73,conventional,2015,California
2015/10/25,1.12,4592461.81,606392.86,7596.27,4042.59,conventional,2015,California
2015/10/18,1.07,4999031.79,633893.61,10780.32,2316.59,conventional,2015,California
2015/10/11,1.08,5063309.38,533478.03,18373.18,3190.67,conventional,2015,California
2015/10/4,1.02,4943781.29,442923.78,25572.26,3594.34,conventional,2015,California
2015/9/27,1.04,5216784.63,496867.66,13336.34,5041.79,conventional,2015,California
2015/9/20,1.14,4759791.13,529779.37,17303.91,5126.49,conventional,2015,California
2015/9/13,1.13,5106508.12,502056.88,76297.56,6065.2,conventional,2015,California
2015/9/6,1.09,5806392.78,591629.83,33545.37,4513.07,conventional,2015,California
2015/8/30,1.08,5647385.15,640600.64,5989.25,2885.76,conventional,2015,California
2015/8/23,1.18,5193221,535183.95,6573.5,3491.36,conventional,2015,California
2015/8/16,1.11,5616434.08,572197.46,2081.96,3372.38,conventional,2015,California
2015/8/9,1.1,6232081.27,570728.54,7356.84,2683.59,conventional,2015,California
2015/8/2,1.16,5428238.87,559587.76,4953.57,2234.75,conventional,2015,California
2015/7/26,1.13,5557616.27,590750.1,5181.16,2676.28,conventional,2015,California
2015/7/19,1.18,5225200.52,577736.96,20673.8,2822.8,conventional,2015,California
2015/7/12,1.13,5451636.92,601358.64,18032.41,3574.73,conventional,2015,California
2015/7/5,1.12,6718011.83,731692.08,27317.19,3362.15,conventional,2015,California
2015/6/28,1.1,5641742.02,630301.44,21861.54,2656.02,conventional,2015,California
2015/6/21,1.07,5952597.29,634244.68,24277.53,3510.13,conventional,2015,California
2015/6/14,0.97,6741662.31,657421.42,22961.19,2818.56,conventional,2015,California
